TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0046599	"regulation of centriole replication"	4.57952113044551	3.889581802149624	0.022013752434600645	0.7655587475315987	0.14272095	null
GO:0048285	"organelle fission"	6.99006791804813	5.361826013237365	0.6531191335223514	0.7136417776598862	0.49800252	null
GO:0050000	"chromosome localization"	3.28537628319549	4.661907292766021	0.13033651799330423	0.9282095600572976	0	null
GO:0051052	"regulation of DNA metabolic process"	4.84773109086271	5.078913348506884	0.34046933978842947	0.90084822494032	0	null
GO:0051053	"negative regulation of DNA metabolic process"	3.6826721817503	4.579715018389665	0.1078628444993271	0.8414810722051049	0.29833947	null
GO:0051276	"chromosome organization"	4.92157259844109	5.581476327723591	1.0830374413217383	0.7021633682522	0.53271446	null
GO:0051301	"cell division"	2.72869226504192	5.75970636301376	1.632577809842288	0.9956500178840145	0.00425547	null
GO:0051382	"kinetochore assembly"	1.93444599777515	4.333709182897272	0.061214925199233834	0.6751932756571685	0.65074274	null
GO:0051383	"kinetochore organization"	4.16508668948904	4.369531255941311	0.0664784662120981	0.7240880847620802	0.65466791	null
GO:0060271	"cilium assembly"	17.9491157482909	5.212789337978915	0.46339885751066423	0.6516590555558089	0	null
GO:0065004	"protein-DNA complex assembly"	2.03703518801272	5.019253414422923	0.2967683220910078	0.7498883424045488	0.52323847	null
GO:0070198	"protein localization to chromosome, telomeric region"	1.80631025111195	3.2681097298084785	0.005260701993979235	0.9452551990831183	0.50457783	null
GO:0070828	"heterochromatin organization"	1.80631025111195	4.8244968116393165	0.18952154468973442	0.7849931897867826	0.6480863	null
GO:0071103	"DNA conformation change"	7.91062045123619	4.785052082526423	0.1730665912320422	0.7062485592479154	0.43387597	null
GO:0071824	"protein-DNA complex organization"	1.69116598187637	5.0722315104977005	0.3352710962099212	0.7806335895512677	0.5962914	null
GO:0072698	"protein localization to microtubule cytoskeleton"	1.74351017847106	4.1543326612423055	0.040501443413981535	0.9266006769740848	0.57184933	null
GO:0097711	"ciliary basal body-plasma membrane docking"	4.06894326173954	2.9237619608287004	0.0023790978256635724	0.698426528473779	0.656631	null
GO:0097722	"sperm motility"	3.03586969209571	4.397383755657276	0.07088178450279524	0.8742847052619191	0.66120157	null
GO:1902369	"negative regulation of RNA catabolic process"	1.46411497015854	4.346333411195522	0.06302054121011931	0.8832481674345009	0.56175515	null
GO:1903046	"meiotic cell cycle process"	6.35495420846869	5.169445178907751	0.41938270871700306	0.62815082959922	0.00326187	null
GO:2000001	"regulation of DNA damage checkpoint"	2.34615546319152	3.6273658565927325	0.012034601053684825	0.832209278556555	0.67282478	null
GO:2001251	"negative regulation of chromosome organization"	2.27282070391058	4.428604485471956	0.0761651986478548	0.8067706073511949	0.68522739	null
